Log file created at: 2019/04/27 10:28:27
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:28:27.485291  2097 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
E0427 10:28:32.051642  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.101950  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.152093  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.202271  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.252481  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.302664  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.352880  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.403030  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.453183  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.503360  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.553490  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.603670  2104 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.653916  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.704138  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.754315  2108 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.804479  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.854638  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.904821  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:32.955001  2102 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:33.005151  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:33.055346  2109 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:33.105491  2101 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:28:33.155629  2102 reference_line_provider.cc:193]  Routing is not ready.
W0427 10:28:33.185606  2104 reference_line_provider.cc:243]  Reference line is NOT ready.
E0427 10:28:33.185680  2104 on_lane_planning.cc:257]  PLANNING_ERROR: Failed to create reference line
I0427 10:28:33.186187  2104 planning_component.cc:154]  Planning response time: 1.31553
E0427 10:28:33.285447  2101 valet_parking_scenario.cc:111]  No parking space id from routing
W0427 10:28:33.297240  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586986, 4.14124e+06, 0), heading = -0.0886793
W0427 10:28:33.297266  2101 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586986, 4.14124e+06, 0), heading = -0.0994459
