Log file created at: 2019/04/27 10:23:36
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:23:36.981840  1762 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
E0427 10:23:39.635207  1766 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:39.635376  1766 planning_component.cc:136]  Input check failed
E0427 10:23:39.684298  1771 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:39.734546  1767 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:39.735184  1774 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:39.735375  1774 planning_component.cc:136]  Input check failed
E0427 10:23:39.784731  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:39.834847  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:39.834995  1774 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:39.835136  1774 planning_component.cc:136]  Input check failed
E0427 10:23:39.885031  1767 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:39.935057  1764 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:39.935199  1775 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:39.935226  1764 planning_component.cc:136]  Input check failed
E0427 10:23:39.985363  1769 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.035210  1770 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.035370  1770 planning_component.cc:136]  Input check failed
E0427 10:23:40.035517  1770 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.085678  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.135154  1772 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.135313  1772 planning_component.cc:136]  Input check failed
E0427 10:23:40.135869  1764 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.186048  1764 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.235162  1772 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.235335  1772 planning_component.cc:136]  Input check failed
E0427 10:23:40.236244  1769 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.286427  1775 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.335191  1775 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.335367  1775 planning_component.cc:136]  Input check failed
E0427 10:23:40.336612  1769 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.386798  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.434962  1770 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.435142  1770 planning_component.cc:136]  Input check failed
E0427 10:23:40.437024  1773 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.487221  1767 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.535183  1764 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.535367  1764 planning_component.cc:136]  Input check failed
E0427 10:23:40.537421  1765 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.587610  1769 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.635087  1769 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.635279  1769 planning_component.cc:136]  Input check failed
E0427 10:23:40.637795  1769 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.687988  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.735188  1768 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.735365  1768 planning_component.cc:136]  Input check failed
E0427 10:23:40.738174  1770 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.788360  1774 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.834764  1774 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.834831  1774 planning_component.cc:136]  Input check failed
E0427 10:23:40.838529  1770 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.888727  1771 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.935207  1766 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:40.935396  1766 planning_component.cc:136]  Input check failed
E0427 10:23:40.938915  1769 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:40.989121  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.035181  1771 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.035346  1771 planning_component.cc:136]  Input check failed
E0427 10:23:41.039328  1774 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.089515  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.135188  1772 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.135350  1772 planning_component.cc:136]  Input check failed
E0427 10:23:41.139706  1767 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.189888  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.235069  1772 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.235214  1772 planning_component.cc:136]  Input check failed
E0427 10:23:41.240067  1765 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.290261  1768 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.335119  1775 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.335254  1775 planning_component.cc:136]  Input check failed
E0427 10:23:41.340435  1774 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.390631  1773 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.435278  1772 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.435439  1772 planning_component.cc:136]  Input check failed
E0427 10:23:41.440821  1766 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.491024  1771 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.535106  1774 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.535270  1774 planning_component.cc:136]  Input check failed
E0427 10:23:41.541232  1771 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.591475  1770 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.635092  1767 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.635293  1767 planning_component.cc:136]  Input check failed
E0427 10:23:41.641674  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.691880  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.735112  1772 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.735255  1772 planning_component.cc:136]  Input check failed
E0427 10:23:41.742081  1764 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.792261  1765 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.835026  1771 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.835238  1771 planning_component.cc:136]  Input check failed
E0427 10:23:41.842451  1775 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.892632  1765 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.935158  1765 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:41.935343  1765 planning_component.cc:136]  Input check failed
E0427 10:23:41.942843  1772 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:41.993039  1773 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.035131  1764 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.035290  1764 planning_component.cc:136]  Input check failed
E0427 10:23:42.043223  1768 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.093418  1775 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.135350  1771 planning_component.cc:197]  routing not ready; skip the planning cycle.
E0427 10:23:42.135502  1771 planning_component.cc:136]  Input check failed
E0427 10:23:42.143609  1773 reference_line_provider.cc:193]  Routing is not ready.
E0427 10:23:42.193783  1773 reference_line_provider.cc:193]  Routing is not ready.
